,crew,seat,scenario,gaze_variance_control,gaze_variance_event1,gaze_variance_event2,gaze_vel_avg_control,gaze_vel_avg_event1,gaze_vel_avg_event2,gaze_vel_std_control,gaze_vel_std_event1,gaze_vel_std_event2,headHeading_avg_control,headHeading_avg_event1,headHeading_avg_event2,headHeading_std_control,headHeading_std_event1,headHeading_std_event2,pupilD_avg_control,pupilD_avg_event1,pupilD_avg_event2,pupilD_std_control,pupilD_std_event1,pupilD_std_event2
9,5.0,1.0,6.0,0.4055514121547195,0.4687513250712121,0.8060016963167639,333.6964052621706,330.87561181926964,423.2392215426758,487.9835447750493,476.7074651209,569.2790966164184,-0.11851177970052608,-0.12394377627698386,0.3577979580113551,36.549840617478864,40.81468100737803,36.92854114871542,0.00454549985058698,0.004545165636363637,0.0043557311152416355,0.0006097224129027224,0.0006102493493534357,0.0033310378492044084
10,5.0,0.0,7.0,0.35779054115918757,0.0,0.0,257.4922435569471,0.0,0.0,681.3976407500402,0.0,0.0,0.055240334922913525,0.0,0.0,324.8125637783782,0.0,0.0,0.0031313125058697973,0.0,0.0,0.002385831740922892,0.0,0.0
11,5.0,1.0,7.0,0.7030185652445364,0.0,0.0,311.2922440312288,0.0,0.0,542.4093536410699,0.0,0.0,0.5085723845956959,0.0,0.0,262.4429525637413,0.0,0.0,0.00432943787620064,0.0,0.0,0.0007203961470170732,0.0,0.0
0,6.0,0.0,1.0,0.1682302715337115,0.014893794804538098,0.0,246.90759796390995,392.41861547930654,264.4390633957421,471.96265882419664,592.1250993411834,474.3752474457617,-0.7518023920762902,-1.9497688422224368,-1.847083329659313,178.12362779664895,278.21673430719113,155.82998564403712,0.003174442329089752,0.003695933428128232,0.0034486701055555556,0.001653041092589909,0.0033518925921054185,0.003478497027089909
1,6.0,1.0,1.0,0.2646164784416309,0.0,0.1328071436529778,185.815864997625,226.61446819875363,244.08228976116052,342.2079784751031,359.434356977387,412.2870260609362,5.009608181528934,9.697041333720776,0.9105829829417128,316.2430266466559,409.3945922314233,250.685070910372,0.004191919467135516,0.004021477986965966,0.003691933818181818,0.0032028425444834223,0.0011165142604579418,0.0006777481210211976
2,6.0,0.0,2.0,0.01512198409651375,0.0,0.0009691280538607634,264.89505871644263,279.5233658803817,316.87268888051517,629.1171805228464,712.1225040857383,458.61619033488114,-1.3009017356615604,-0.9474450263780686,-1.954216716736087,205.79359814767514,204.56422148353386,233.68828918910188,0.0033584262080516287,0.0033130829431585115,0.0030133581696,0.002670101272764428,0.002185800639645902,0.0009464093292606161
3,6.0,1.0,2.0,0.13006531357031037,0.0,0.0462251820914646,246.64203221538412,391.2859719112621,364.17294907686255,438.568485985881,590.865895530353,560.1276887261848,2.254915371737062,-0.9231229976001313,0.41586739339595985,232.6305022547542,260.198561893563,32.56424215706084,0.0037581406977632297,0.0034509515047577853,0.00359350746179402,0.001341973238060302,0.001723604852626138,0.001143053099904916
4,6.0,0.0,3.0,0.05137482452008436,0.0024232278373218508,0.18429114526372278,318.92948291274274,379.2386223656612,351.19376917434704,496.77926478076535,588.736983607785,584.5799299206042,-2.4320846784243324,-2.9123093314240034,-0.2696995193822745,202.5037561318104,235.1767359280847,101.72613965737344,0.003151903957619477,0.003024982771624899,0.003508678204979253,0.0014261872245682383,0.0015846528264330468,0.002864725459292773
5,6.0,1.0,3.0,0.12000912922567644,0.0,0.0795795454515482,205.72061067678408,167.70831663837066,226.9254815094784,276.1971511158676,227.24340411661268,460.13181068514876,9.315293602852202,11.70328158604718,0.15009334589298692,404.62364424302694,451.3483742536707,195.4828866106386,0.003923118601428572,0.003941112131162791,0.003553595559929495,0.0008590327362019798,0.0012086994883723045,0.001427157815716237
6,6.0,0.0,5.0,0.0194959470075711,0.0,0.0,241.54478866307764,264.71998068335625,205.48399946459634,464.8888744699539,443.9019410376026,748.3223787063689,-1.3639384305640858,0.4540625713858469,0.42706561921890557,172.13611581700516,135.006420415125,39.164352664868844,0.0032830925719463575,0.003625165860878145,0.0044343738755684165,0.0012642498772428602,0.0018401540416890072,0.00339570221216655
